keys,pt_BR,en
%s mil,%s mil,%s thousand
%s milhão,%s milhão,%s million
%s milhões,%s milhões,%s million
%s bilhão,%s bilhão,%s billion
%s bilhões,%s bilhões,%s billion
Macaco Comum,Macaco Comum,Common Monkey
Um macaco e uma máquina de escrever. É por onde tudo começa.,Um macaco e uma máquina de escrever. É por onde tudo começa.,One monkey and one typewriter. This is where it all starts.
Dedos Mais Ágeis,Dedos Mais Ágeis,Nimbler Fingers
O macaco passa a errar as teclas 50% mais rápido.,O macaco passa a errar as teclas 50% mais rápido.,The monkey starts missing the keys 50% faster.
Instinto Digitador,Instinto Digitador,Typing Instinct
O macaco começa a pressionar teclas sozinho. É aqui que o jogo vira um incremental.,O macaco começa a pressionar teclas sozinho. É aqui que o jogo vira um incremental.,The monkey starts pressing keys on its own. This is where the game becomes an incremental.
caracteres,caracteres,characters
caracteres por segundo,caracteres por segundo,characters per second
para gastar,para gastar,to spend
DIGITAR,DIGITAR,TYPE
+1 caractere por clique ou espaço,+1 caractere por clique ou espaço,+1 character per click or space
MACACOS,MACACOS,MONKEYS
Comprar 1,Comprar 1,Buy 1
Comprar 10,Comprar 10,Buy 10
Comprar 100,Comprar 100,Buy 100
Comprar Máximo,Comprar Máximo,Buy Max
UPGRADES,UPGRADES,UPGRADES
para o próximo,para o próximo,for the next one
Enquanto você esteve fora: %s,Enquanto você esteve fora: %s,While you were away: %s
PANORAMA,PANORAMA,PANORAMA
Fechar,Fechar,Close
O próximo marco ainda é um mistério.,O próximo marco ainda é um mistério.,The next milestone is still a mystery.
Máquina Velha,Máquina Velha,Old Typewriter
A que veio com o macaco. Range e às vezes engasga.,A que veio com o macaco. Range e às vezes engasga.,The one that came with the monkey. It creaks and sometimes jams.
Máquina Mecânica,Máquina Mecânica,Mechanical Typewriter
Teclas que voltam sozinhas. O macaco aprovou.,Teclas que voltam sozinhas. O macaco aprovou.,Keys that spring back on their own. The monkey approved.
Máquina Elétrica,Máquina Elétrica,Electric Typewriter
Agora ela zumbe. O macaco desconfia do zumbido.,Agora ela zumbe. O macaco desconfia do zumbido.,Now it hums. The monkey is suspicious of the hum.
Teclado Industrial,Teclado Industrial,Industrial Keyboard
Feito para aguentar turno de doze horas.,Feito para aguentar turno de doze horas.,Built to survive a twelve-hour shift.
Terminal Digital,Terminal Digital,Digital Terminal
Tela verde e cursor piscando. Ninguém sabe ler o que sai.,Tela verde e cursor piscando. Ninguém sabe ler o que sai.,Green screen and a blinking cursor. Nobody can read what comes out.
Cluster de Digitação,Cluster de Digitação,Typing Cluster
Várias máquinas fingindo ser uma só.,Várias máquinas fingindo ser uma só.,Several machines pretending to be one.
Simulador Neural,Simulador Neural,Neural Simulator
Ele imagina as teclas antes de o macaco apertar.,Ele imagina as teclas antes de o macaco apertar.,It imagines the keys before the monkey presses them.
Processador Quântico,Processador Quântico,Quantum Processor
Digita todas as letras ao mesmo tempo até alguém olhar.,Digita todas as letras ao mesmo tempo até alguém olhar.,It types every letter at once until someone looks.
Computador Probabilístico,Computador Probabilístico,Probabilistic Computer
Ele não digita: ele calcula o que teria sido digitado.,Ele não digita: ele calcula o que teria sido digitado.,It does not type: it computes what would have been typed.
MÁQUINA,MÁQUINA,TYPEWRITER
Sala Pequena,Sala Pequena,Small Room
"Uma mesa, uma janela e espaço para dez macacos.","Uma mesa, uma janela e espaço para dez macacos.",One desk. One window. Room for ten monkeys.
Escritório,Escritório,Office
Baias de verdade. Alguém trouxe uma planta.,Baias de verdade. Alguém trouxe uma planta.,Actual cubicles. Somebody brought a plant.
Galpão,Galpão,Warehouse
O eco aqui dentro é feito só de teclas.,O eco aqui dentro é feito só de teclas.,The echo in here is made entirely of keystrokes.
Fábrica,Fábrica,Factory
Turnos. Esteiras. Rolos de papel do tamanho de um carro.,Turnos. Esteiras. Rolos de papel do tamanho de um carro.,Shifts. Conveyors. Paper rolls the size of a car.
Cidade,Cidade,City
Não há mais prédio: há bairros inteiros digitando.,Não há mais prédio: há bairros inteiros digitando.,There is no building any more: entire districts are typing.
SALA,SALA,ROOM
Sala cheia,Sala cheia,Room is full
%s de %s macacos,%s de %s macacos,%s of %s monkeys
Primeira Palavra,Primeira Palavra,First Word
Um macaco produziu acidentalmente uma palavra válida. Era “banana”.,Um macaco produziu acidentalmente uma palavra válida. Era “banana”.,A monkey accidentally produced a valid word. It was “banana”.
Uma Expressão,Uma Expressão,A Phrase
Duas palavras que fazem sentido juntas. O macaco não soube explicar como.,Duas palavras que fazem sentido juntas. O macaco não soube explicar como.,Two words that make sense together. The monkey could not explain how.
Uma Pequena Frase,Uma Pequena Frase,A Short Sentence
Sujeito e verbo no mesmo lugar. Ninguém estava olhando na hora.,Sujeito e verbo no mesmo lugar. Ninguém estava olhando na hora.,Subject and verb in the same place. Nobody was watching at the time.
Uma Frase Completa,Uma Frase Completa,A Complete Sentence
Começa com maiúscula e termina com ponto. O macaco parece orgulhoso.,Começa com maiúscula e termina com ponto. O macaco parece orgulhoso.,Starts with a capital and ends with a period. The monkey looks proud.
Cinco frases seguidas sobre o mesmo assunto. Isso já é quase intenção.,Cinco frases seguidas sobre o mesmo assunto. Isso já é quase intenção.,Five sentences in a row about the same subject. That is almost intent.
Uma História Curta,Uma História Curta,A Short Story
"Começo, meio e fim. O fim é sobre bananas.","Começo, meio e fim. O fim é sobre bananas.","A beginning, a middle and an end. The end is about bananas."
Um Poema,Um Poema,A Poem
Rima. Não deveria rimar. Rimou.,Rima. Não deveria rimar. Rimou.,It rhymes. It should not rhyme. It rhymes.
Um Artigo Científico,Um Artigo Científico,A Scientific Paper
Com metodologia e referências. As referências também foram digitadas por macacos.,Com metodologia e referências. As referências também foram digitadas por macacos.,With methodology and references. The references were also typed by monkeys.
Uma Peça de Teatro,Uma Peça de Teatro,A Stage Play
Três atos. Nenhum ator. O macaco fez todos os papéis em silêncio.,Três atos. Nenhum ator. O macaco fez todos os papéis em silêncio.,Three acts. No actors. The monkey played every part in silence.
Uma Grande Obra,Uma Grande Obra,A Great Work
Algo que um editor publicaria sem perguntar quem escreveu.,Algo que um editor publicaria sem perguntar quem escreveu.,Something an editor would publish without asking who wrote it.
DESCOBERTAS,DESCOBERTAS,DISCOVERIES
Comum,Comum,Common
Incomum,Incomum,Uncommon
Raro,Raro,Rare
Épico,Épico,Epic
Lendário,Lendário,Legendary
Impossível,Impossível,Impossible
Paradoxal,Paradoxal,Paradoxical
Ainda não descoberto.,Ainda não descoberto.,Not discovered yet.
%s descobertas de %s,%s descobertas de %s,%s discoveries of %s
descobertas,descobertas,discoveries
%s descoberta de %s,%s descoberta de %s,%s discovery of %s
Duas Mãos,Duas Mãos,Two Hands
O macaco descobre que tem duas. A segunda demorou.,O macaco descobre que tem duas. A segunda demorou.,The monkey discovers it has two. The second one took a while.
Máquina Lubrificada,Máquina Lubrificada,Oiled Typewriter
Menos tempo entre uma tecla e a seguinte. Muito menos rangido.,Menos tempo entre uma tecla e a seguinte. Muito menos rangido.,Less time between one key and the next. Much less creaking.
Treinamento Questionável,Treinamento Questionável,Questionable Training
Uma técnica surpreendentemente eficiente. Ninguém sabe quem ensinou.,Uma técnica surpreendentemente eficiente. Ninguém sabe quem ensinou.,A surprisingly efficient technique. Nobody knows who taught it.
Segunda Mesa,Segunda Mesa,Second Desk
Dá para contratar outro macaco. A sala cabe o dobro agora.,Dá para contratar outro macaco. A sala cabe o dobro agora.,You can hire another monkey. The room now holds twice as many.
Café para o Macaco,Café para o Macaco,Coffee for the Monkey
Ele não pediu. Ele também não devolveu a xícara.,Ele não pediu. Ele também não devolveu a xícara.,He did not ask for it. He did not give the mug back either.
Teclas Mais Leves,Teclas Mais Leves,Lighter Keys
Metade da força para o mesmo caractere.,Metade da força para o mesmo caractere.,Half the force for the same character.
Papel Contínuo,Papel Contínuo,Continuous Paper
Acabou a pausa para trocar a folha. Acabou mesmo.,Acabou a pausa para trocar a folha. Acabou mesmo.,No more pausing to change the sheet. Ever.
Turno da Noite,Turno da Noite,Night Shift
Os macacos revezam. Nenhum deles dorme direito desde então.,Os macacos revezam. Nenhum deles dorme direito desde então.,The monkeys take turns. None of them has slept well since.
Mesas Empilhadas,Mesas Empilhadas,Stacked Desks
Vertical resolve o que horizontal não resolvia.,Vertical resolve o que horizontal não resolvia.,Vertical solves what horizontal could not.
Método de Datilografia,Método de Datilografia,Typing Method
Existe um jeito certo de apertar tecla. O macaco aprendeu por eliminação.,Existe um jeito certo de apertar tecla. O macaco aprendeu por eliminação.,There is a right way to press a key. The monkey learned by elimination.
Revisor Automático,Revisor Automático,Automatic Proofreader
Ele não corrige nada. Ele só conta mais rápido.,Ele não corrige nada. Ele só conta mais rápido.,It corrects nothing. It just counts faster.
Ergonomia Simiesca,Ergonomia Simiesca,Simian Ergonomics
A cadeira finalmente foi projetada para quem senta nela.,A cadeira finalmente foi projetada para quem senta nela.,The chair was finally designed for whoever sits in it.
Arquivo Vertical,Arquivo Vertical,Vertical Filing
O andar de cima também era espaço. Ninguém tinha reparado.,O andar de cima também era espaço. Ninguém tinha reparado.,The floor above was space too. Nobody had noticed.
Estatística Aplicada,Estatística Aplicada,Applied Statistics
Agora dá para prever quantas letras saem por minuto. E está sempre certo.,Agora dá para prever quantas letras saem por minuto. E está sempre certo.,Now you can predict letters per minute. And it is always right.
